	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3
Y54G2A.28	0.440966652861624	0.199110147020052	0.108751498894198	0.919904147873622	0.985112836388472	0.885429321671857
hot-8	0.980105016228086	0.981226082026313	0.938816413159977	0.532407028485059	0.635430698524829	0.404271187034888
R09E12.9	0.320263076860823	-0.0967846637355552	0.243951413754654	1.03044873975274	1.13155695702142	1.07011145922145
C30H6.5	0.87543839339107	0.915751401097103	0.705249182085339	0.318062999318478	0.434669740129719	0.148820148301975
T09B9.1	0.432186418220238	0.591352979029369	0.485216774307391	0.923498003311476	1.00577094302219	1.23406453719263
zipt-2.3	0.580141514615263	0.517214165556162	0.685518536920222	-0.162012150160042	-0.134130978634142	-0.0256562001332902
F20D1.3	1.76697916642325	1.79963332627746	1.75176893309783	2.272714089548	2.25876971695659	2.2370375440633
dhhc-2	1.00683362326208	0.981488125830823	0.843622902920807	0.533592089484214	0.441735316246538	0.137338779947795
tps-1	-0.265800451278068	-0.131547756664851	-0.23924570616971	0.465153706749508	0.440950141289167	0.584647343932639
Y73C8B.5	-4	-4	-4	-0.468781797539584	-0.344018612968707	-0.593391196704832
F26F12.3	0.177038464750337	0.304309794139553	0.288331783102738	1.22248565615508	1.21864451130827	1.37548940485543
W04B5.2	-0.477427978456817	-0.329811130641941	-0.39198562453493	0.113396837606744	0.17216791031519	0.130072842244361
F02D8.4	1.48681181437453	1.61613411094907	1.4496675119977	0.706196714450945	0.620000574367399	0.681995701982403
pqn-89	0.469948053107985	0.591688203559972	0.559316011820534	1.16357536523985	1.13199858925901	1.22443782568005
clec-89	0.173011244627649	-0.130097201874861	-0.0840823787832707	-0.721421843604594	-0.441833368344082	-0.657779201490097
aat-2	0.67997592527179	0.841240232940248	0.619966772876272	0.141134360291859	0.0478812229811559	0.0721880217973475
nspb-7	1.53107124750541	1.72344546274903	1.45671348542789	0.986531913654763	0.877245096079573	0.888674334395751
R11A5.6	-1.21642202094487	-1.21852643560727	-4	-0.509569692808985	-0.259897250935113	-0.312053603585263
ncs-5	0.0159005348081907	0.125275332980474	0.125287319428056	-0.261029704120814	-0.396617708633648	-0.53687895756396
slc-17.4	1.30289973425596	1.42704175994383	1.30385285805984	0.779109753241474	0.797010334318701	0.606063814005276
tsp-9	0.983773656542588	1.02954909651298	0.88950257283909	0.534972954847056	0.607418833565276	0.454742777664609
K09C6.2	-1.24315345820927	-1.30314048281927	-1.71811616973247	-0.740368059233407	-0.694778014685987	-0.655547332871133
ogt-1	0.0874275022777534	0.328342538030852	0.250595260232895	0.578529146297208	0.557513442129449	0.611922014440786
nep-22	0.961711037214882	1.13487109448538	1.13376760245249	0.518272325710262	0.659687241965376	0.438042249322003
T04C9.8	-0.825835225706733	-4	-4	0.124371859071922	-0.294848054792902	0.0119640630357382
C50F7.5	-0.103247837202331	0.0318027395736347	0.274115019823177	1.04346103215997	1.11171153812031	1.12601952350197
pgp-9	0.668023449604791	0.689658248978802	0.619131805229122	0.068430527093356	0.0933577192710904	0.0906256471570031
C50B8.4	0.163103628867563	-0.0219191002215124	-0.0261154919166005	0.541454894656216	0.444404377645543	0.286044720528609
Y73C8C.10	-1.46108948760062	-1.287520801203	-1.03526282293484	-0.578663739726547	-0.505046830191063	-0.527242755350945
B0222.5	0.635187721493191	0.982112016116386	1.09219572133731	1.44400544307079	1.480366516559	1.75257328022184
scav-4	0.691786270863272	0.655732613130267	0.736878905710317	-0.312377251275566	-0.59967895748138	-0.570383625214873
C07B5.8	0.852007968318457	0.439735282481308	0.518205412942113	1.12534582815724	1.08216790611721	1.03684128952945
Y58A7A.3	-0.764009876816428	-0.485410642288872	-0.489606188000539	0.434861087028958	0.252761968773351	0.26498929708742
Y49G5B.1	1.33257088395177	1.29574384088628	1.21157264993258	0.899737399852999	0.877576740786453	0.984927692838917
eak-4	-1.5531294165524	-4	-1.72780464099489	-0.604044343652568	-0.546217790857765	-1.01721422969455
F47G4.4	1.17096373615201	1.12465251072488	1.07446502975863	0.720481987814301	0.713227083516921	0.65119566857535
F11C7.9	-0.114418580081361	0.0753390441183211	-0.398957858216168	0.337699682493133	0.608613562716091	0.54749389974063
ensh-1	-0.259404895680467	-0.31119057596573	-0.262690457778947	-0.767821168370563	-0.731987308555637	-0.864380934490257
Y53F4B.25	0.543829350861957	0.46213859878028	0.153233162961175	0.889623020579203	1.12157739303331	0.943377982407696
F01D5.7	-0.078449636248074	-0.261950260607393	-0.348121893112896	0.710755463144662	0.92745686379021	0.888444786153186
F56B6.6	1.22029047888384	1.22735812088783	1.11988417904636	0.811454042229143	0.784701256839559	0.717977284208869
Y75B8A.28	-0.0305898984512811	-0.151869185330228	-0.242219934179319	0.766703377865761	0.886763187841126	0.494656956755092
lido-15	0.675395790497563	0.74630745371056	0.780093129188301	1.10847594478645	1.25659976834473	1.18505780425877
ipla-2	0.060030446999358	0.106351801723608	0.0197732653130399	0.820202582426561	0.870970609310562	0.743958970319952
smc-3	0.16232690781749	0.233446414186995	0.214448323276827	0.4597232011005	0.411267363461891	0.603890461789378
dnj-12	2.1463124660208	2.0845297287346	2.06893368770739	2.46201295258001	2.49077672807995	2.46423928261671
efk-1	0.417020438589827	0.577258863805336	0.586850061952287	1.06665755110796	1.13501049312393	1.26691272025206
R05H5.5	0.984851550474879	1.05286461351231	1.1487133136166	1.35926341748934	1.33995022508286	1.43660750870051
B0361.14	0.693648162975796	0.770720086564509	0.995317887712047	1.1414325297177	1.40092479969264	1.38700630813318
gst-36	1.96711836619621	1.93167885727812	1.8480291643991	2.78648242682329	2.74498104893242	2.73144604440305
dat-1	0.0414522468082462	0.0895068282947989	-0.0570250456902573	-0.482586169186344	-0.364162737860235	-0.610985643245759
C37C3.11	0.0926854735279865	-0.0707743866811597	-0.0979822801519804	-0.662120746032092	-0.713391889618467	-0.53155194732613
ZK185.3	1.00286815856392	1.10571208949879	0.936340666300493	0.57022078689099	0.773803440078758	0.638152644017316
nipi-4	0.455835950801864	0.453728132162959	0.348850451643587	-0.206427863703298	-0.186371260882188	-0.397987805191651
F58D5.5	0.980044243794972	0.938895898853121	0.934421610908303	1.59410540174094	1.60087731109476	1.70329276209227
uggt-2	-1.29987349329252	-1.30197717112985	-1.62923641872939	-0.638881663483652	-0.565268572665488	-0.684331434810697
scl-13	-4	-4	-4	-0.529766393436165	-0.523072849109246	-0.721283519250883
Y39F10A.1	0.842065450089475	0.844505150230188	0.925682723051588	0.468028277046905	0.395545510697829	0.363583794335387
Y73B3A.24	-0.825835225706733	-0.827941703379679	-0.700325390603579	0.358441475463625	0.0730797955927383	0.0789048169999749
dpy-14	-1.06686824446699	-0.671339199394452	-1.36674931782947	-0.387870416396452	-0.41113200671798	-0.0780075207373219
btb-9	0.547583131110077	0.518417860752892	0.431949601167777	-0.219146167706918	-0.292705435983377	-0.419476600518222
fbxa-182	-1.07878969069033	-0.904978230615254	-1.25397771062643	-0.32063994957389	-0.451085503862914	-0.342624776212333
cnnm-1	0.322928977015857	0.465937433177346	0.297611563218866	-0.0778785929688928	-0.0070731163723065	-0.096023890559946
R13A5.11	-0.141853142350722	-0.375312238583785	-0.231856207826715	0.225001315302064	0.10069279917925	0.0476561245336553
npr-16	0.286513812826579	0.234611302268433	0.254603622924322	-0.0744871285900162	-0.376787435348085	-0.502206206692383
spin-3	0.275519004237541	0.157165768723605	0.1641961057575	-0.535441591082005	-0.887581401251464	-0.638864096807929
ndg-4	1.30035451120026	1.39690386434005	1.32054473831555	0.859463118051251	0.82404423776896	0.961985297269818
F45E10.2	-0.647261360481161	-0.601084026634348	-0.247093529045485	0.151774153227337	0.205578924212201	0.366703702238204
bath-34	-0.967139240622592	-0.902356188899427	-0.806918587704342	-0.163141491066223	0.299625728093922	0.314224442685291
frm-7	0.166184747665958	0.284119627078005	0.100846136828541	0.796348416900412	0.756515914378269	1.01907451111637
C36B7.6	0.97061234920083	1.0062482427338	0.990538258934552	1.32468734004465	1.29764682687175	1.38013527315577
Y17D7C.9	-1.5957390360281	-4	-1.17019849419949	-0.315905999664194	-0.145382596217981	-0.0903462884914971
Y43F8B.2	1.90922459934119	1.83498411135549	1.80876171649909	3.1875519613543	3.34011608750275	3.27735537056254
F38B7.3	0.694498869805173	0.748145189679932	0.615963495402471	1.21357312105275	1.27039999328914	1.48656157334632
kcnl-1	0.499607057825824	0.548805348263172	0.445243196808611	0.145655077139333	0.197652231976073	-0.00380763646075607
gcsh-1	1.61205078334891	1.66534190461046	1.59459673686861	0.986796805400416	1.10086701246902	1.09754916987995
R02E4.2	-0.00162208619609574	0.0740227111501175	0.0498541891071322	-0.562317272794965	-0.613593550884459	-0.949981929096081
F08H9.3	-1.02899978139639	-1.33166912025545	-0.903533515515439	0.306373400105398	0.325657390347202	0.580672145677341
lact-4	-0.237323534705435	-0.010434619770785	-0.111759501791061	0.675287445840249	0.702858518349073	0.902688981263948
clec-79	0.700529858770314	0.677129235594699	0.528192761617697	0.245434786617669	0.323768418601619	0.0983176481690248
B0507.3	0.0354715974259339	0.352396072401188	0.344424589121227	-0.425817326606468	-0.567245531148175	-0.772176658614814
K08D8.4	0.285502701769242	0.40512298733332	0.391485140958047	1.03109911866283	1.21076630712668	0.975270579860602
ugt-44	0.374498855791587	0.572693316437512	0.474842118403632	1.04729555105812	1.12658998780229	0.934246656141488
Y119D3B.13	1.80312477694421	1.74029954292844	1.7114100884496	1.52972997533766	1.32607119928196	1.3398171295028
lron-8	0.57118690986617	0.714498179996967	0.5533481250834	0.147064226738476	0.293569719245296	0.12595447249246
C09G1.4	0.155683553374073	0.121688987309576	0.0638856932468284	0.392651121834715	0.4809427588005	0.587364331871958
sorb-1	-0.151720092184459	0.0733908816799516	-0.116318675737866	0.340550108206655	0.351401373274967	0.195384422414171
Y54G2A.40	-1.25705127467236	-1.11325272836404	-1.28631554880709	-0.419961584307303	-0.504656889500485	-0.206644248621391
F15D4.5	-0.621567039281991	-0.422826833367488	-0.249416440915257	0.239966373929739	0.151294155483804	0.350733171178817
T13C2.6	0.917680775908982	0.937330770769322	0.991038189201349	1.59135337847825	1.54508805204493	1.55965764771703
W05B2.8	-0.0895981363730181	-0.693604869914422	-0.565968748440836	0.492851039505755	0.403769504924043	0.514326513543799
mml-1	-0.0381544208981836	-0.0504801135064133	-0.159823068848881	0.41899033991991	0.472320643230326	0.577634616082832
F01D5.1	1.78529721662437	1.86149860826666	1.73430732104956	1.42708317178018	1.51372572344113	1.34665075659257
snpc-3.3	0.574024751782674	0.574986065291786	0.448019497669734	-0.0226348125283327	-0.0297265491333272	0.097509312542825
C02F12.5	0.945907497397098	1.07964834128131	1.15114990830658	0.53602321370524	0.471954782625418	0.762288058278368
ttr-26	1.16554074533071	1.10442971949618	1.00674723546634	1.55755439438664	1.59816774950543	1.57016704727655
C18D11.6	-0.230196667563805	-1.13487547511747	-1.00733566209832	1.80066747892714	1.65390897137275	1.77840657728965
fat-6	2.40655740042764	2.53196079686367	2.73565803043074	2.78953019844277	2.97660328904281	2.90795447491563
sulp-6	0.533432806421841	0.504051719009068	0.290733589661197	0.82606934150602	0.82674281269742	0.695490700195125
Y37F4.8	0.259450561076409	0.0425143045586602	0.0394370656536848	0.571565733202016	0.448917473046013	0.454742777664609
F59C12.4	1.26790454319878	1.35087904904477	1.56957749743567	1.94252162888522	2.23940860261981	2.23411811122936
W02D7.11	-1.08398461112357	-1.08608993992235	-0.657701508160022	0.0208968538886901	-0.127292478239601	0.179533528692154
F57B9.8	0.0487787083061444	0.0466710045483926	-0.251568456498213	0.346012339032689	0.328284350011555	0.238100931329185
Y111B2A.21	0.81733315038743	0.759110264662377	0.738797347436735	0.18235972920176	0.131067154640007	0.118410209207021
cyp-36A1	0.171375591967452	0.152563301648173	0.195930272430942	0.70012278267015	0.760025819214877	0.959524983911289
ins-6	0.917027987849233	0.942948514242001	0.920877213435251	0.647940929885273	0.45355929339496	0.554167962718275
M05D6.3	0.410162938911539	0.475837063623192	0.268580589187974	0.621723857689693	0.700504360015593	0.731152864423272
ser-3	-0.769926781866181	-0.429750916827094	-0.508796906111504	0.0834086666667719	0.0716220416315772	0.122255843442262
lin-59	-0.185009134570149	-0.183628910360796	-0.236385650560626	0.0144327554077382	0.0915793897405269	0.161640555966618
pqn-24	0.247005550226576	0.442848405206194	0.366422198156278	0.637820519257432	0.64570327222611	0.777845848969693
R03H10.6	-0.67191187643945	-0.632644730076825	-0.37033992739449	0.519624345465106	0.617494160651138	0.809391408561144
F59H6.5	-4	-4	-4	-0.478857362854572	-0.644812185620468	-0.299432459562532
Y71G12B.18	-0.436830879527446	-0.836699256124072	-0.25693063056331	0.629057213630471	0.733294388207502	0.0803603515561109
F53C3.1	0.39447102638716	0.373560433748273	0.164187478524285	0.650665029809382	0.639103757872021	0.482853040841308
Y41G9A.2	-0.466530453818618	-0.433885449954949	-0.679685544167055	0.103630730876974	0.0880513803050087	-0.143459053095631
Y52E8A.3	1.64865424822632	1.59200895984217	1.35980385174412	1.07867728044584	1.1104476582547	0.884946510254959
Y102A11A.1	0.497358542363491	0.615333596634035	0.655466419435457	-0.486095986273054	-0.277805513523541	-0.4937756936908
F38G1.3	0.746611424074221	0.937146879409111	0.910424244960828	0.403228534714091	0.566222623614669	0.585550091207888
nhr-42	0.011417363721698	0.0174267799589368	-0.0687531200936206	0.290115891830846	0.275691851372255	0.372320183706536
grd-14	2.73990546669043	2.92683511380274	2.74266021875191	2.44348993127229	2.53970450425821	2.42357848336715
F26D10.24	-0.776273494860048	0.221385168812395	0.0894478804705423	0.671266257234695	0.976512754514494	0.982338203880562
Y6G8.5	-4	-1.50337687766029	-1.20029182767342	0.000695438712147873	-0.0505952776169567	0.210480689295205
sop-2	0.558435096085998	0.56747921032102	0.503829678838601	0.828871292929355	0.814576438033327	0.909837707366198
M106.3	1.22241974275628	1.2615716547038	1.20939592860016	1.85275004728741	1.82242884161131	1.93439060067176
F57G8.5	0.50716835383602	0.487877952957403	0.244998039741739	-0.12965796394986	-0.150987945746808	-0.196308193767226
T26C5.5	0.595724479959794	0.781410773066175	0.617218219053567	0.146230907225485	0.244690783607525	0.250515964647592
linc-82	-1.11471265672933	-0.992021167195755	-1.28987834034548	-0.196929557843234	-0.186079490133943	-0.342075985473854
tba-7	1.24983586220722	1.32411593137438	1.27936188154946	1.00519992916824	0.900622479789828	0.888799435612462
cnc-4	1.64208252308617	1.44295004058721	1.06613591003907	2.66928839209473	2.61430656264447	2.50318024261673
T28F4.4	-0.432589522772241	-0.444678316197317	-0.466150041267032	0.383333942517111	0.223450014975354	0.324201596900583
fbxa-59	0.257810223302491	0.239715245897335	0.220192025797847	0.656272674253559	0.568882312617282	0.722895520239274
kpc-1	0.60400185058938	0.433494725075335	0.137133054305823	1.30825845440513	1.29121717320667	1.32053550842871
K01A6.8	-0.435041514693536	-0.914032487808293	-0.689575608031018	-0.0287160481020644	0.163009286953132	0.125371805070953
Y57A10A.14	0.937951677829436	0.864368080500933	0.723642486117565	0.418727282882427	0.367433206598742	0.33611830248354
acr-12	-0.0200461791252463	-0.0593978151472649	-0.144987151301568	-0.736417727777294	-0.486787409987206	-0.48096367459831
pde-2	0.420044214983265	0.590341742090794	0.497723732537684	0.703323517530163	0.766810932342689	0.92521839094015
pals-20	0.422660491425241	0.610426381804522	0.633792303840125	0.167013063908632	0.361036104274487	0.0967240324827777
col-41	1.37521975388254	1.32413003260905	1.15243997500529	1.65450847569775	1.89272414659325	1.67289552358451
F54D10.8	-0.373837316825512	-0.919754801369878	-0.820166799672812	0.576536856805774	0.504828306815932	0.38183145760488
prx-12	0.23647195736835	0.42043084446232	0.31685382000415	-0.161257620916353	-0.0418726795778301	-0.160970813901832
F01D5.5	1.95651961848669	1.97223644185253	1.85245276590382	1.58835064137579	1.60468061864558	1.34513897150018
F58D5.13	1.58013123704523	1.63929285573971	1.51625906607038	1.9329007991757	1.87156278534443	1.9410572893431
asic-2	-1.59468395140095	-1.89610071227573	-1.29386589389614	-0.449512932313538	-0.263490776086965	-0.360307708175968
marc-4	0.903542614480377	0.730102957534055	0.677424704478464	0.445285944680591	0.458930117382151	0.250885085026033
C08F11.13	0.528990419588929	0.579493453816835	0.409064706298306	1.40307440384966	1.28725353609363	1.25363259949373
oac-6	-0.000393652699277875	-0.0568531721381089	-0.0772225688498624	0.454280153184402	0.516338833037461	0.331912997625347
Y17G7B.23	-0.138259153742789	-0.258447318333736	-0.173522526313029	0.246913769435586	0.301124915261978	0.030762764730798
C30F2.2	-0.168768706456527	-0.0405592068780625	0.140051405483671	-0.519253793401921	-0.637451812474298	-0.564708589708677
Y116A8C.9	0.367468977149195	0.386344783426005	0.266886579094516	0.675331359618504	0.698242227091106	0.831272040004568
F57A8.1	0.572768112283876	0.582398368217302	0.394342033354529	0.672142716125963	0.911186480503595	1.00738071117638
F39G3.3	0.0858675486447651	0.150701503077111	0.104514604818271	0.64350679226023	0.631719452653758	0.74865719003216
F22H10.6	0.918489653355457	1.11875448262961	1.1640455762873	0.671097504474816	0.650113724808357	0.843266306036678
C34B4.3	-0.515876763881567	-0.341940421115667	-0.404114510335951	0.0665066256646156	-0.0749518083617151	0.0387672085958531
rpn-3	1.9613829734479	2.09650095191563	2.18001083622391	2.32113338404236	2.3540367685839	2.39678560401905
F54A3.2	0.788114307325601	0.750645881352648	0.60075363180517	1.0363288967122	0.999819015665814	1.0952236435556
C31C9.7	1.9924464520379	2.01926028226862	1.96719488336218	1.56750429262047	1.64987650494732	1.4316878387817
nhr-4	0.120081279595742	0.268687628872531	0.209546269680183	-0.316258438449601	-0.418683181065136	-0.0771275963028224
nxf-1	1.21700461209841	1.25996643216784	1.06595051017334	1.57360858974411	1.60640657914012	1.46088433309639
C05G5.2	0.0817119315492627	0.127292444100043	0.0771552495008683	0.40501408946027	0.367581114420563	0.399867960725111
CD4.13	-4	-4	-4	-0.223093669626545	-0.371270312529905	0.0738224150413622
M01H9.3	1.94363268175898	2.02779143668266	2.09118030319903	2.3122578282473	2.34614558676648	2.38697945440625
