"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Recql",255.078691984444,0.0261530203854812,0.126489316803874,0.206760705538733,0.836196745423606,0.92632206470633
"Recql4",217.014498070258,-0.0352234987465717,0.142048377279031,-0.247968328968523,0.804158911455091,0.909681776238776
"Recql5",140.462716778243,0.179559524930409,0.166191909304024,1.08043481588464,0.279948599084094,0.537044475685361
"Reep1",18.2692636671364,0.373742218703123,0.471936445057796,0.791933368607192,0.428399528983205,0.670199815360519
"Reep2",7.27757659056079,-0.0239226136750286,0.832811126388837,-0.0287251369692426,0.977083808234854,0.99085581507775
"Reep3",762.171814466277,0.354723046091091,0.075401485837325,4.70445697656925,0.00000254542534991458,0.0000627041556306856
"Reep4",511.68130650534,-0.301016119480508,0.0944709901647745,-3.18633391007633,0.00144088192908495,0.0150253929997678
"Reep5",804.890165123473,-0.0654349332687987,0.0897184067525629,-0.729336773102354,0.465795683364385,0.700041284289875
"Reep6",166.319646637924,0.303623080362999,0.151023395731875,2.01043738217917,0.0443849173485649,0.182781982466925
"Rel",540.352026679574,0.0526970955944297,0.0874877114912799,0.602337113363425,0.546949761124867,0.755298349931547
"Rela",437.940147684716,-0.205802565801957,0.0981022055119006,-2.09783831798757,0.0359194303395586,0.158289368978614
"Relb",83.4671613819222,0.0464567246741384,0.235931777442239,0.196907450017037,0.843899963548111,0.93055275997085
"Relch",470.278786872881,-0.161379618374536,0.0940247328429735,-1.71635285201021,0.0860974803810105,0.276482099599318
"Rell1",6.96005738995504,0.71451837853971,1.00830807774295,0.708631016959739,0.478553483163939,0.708632284009936
"Reln",14.4001508826417,0.689778908286312,0.680079292113554,1.01426247833927,0.310457523035191,0.565780567789894
"Relt",77.4034228727392,0.305356421627851,0.256042574834559,1.19260018309516,0.233025994119809,0.488566993842945
"Renbp",129.918810975839,0.312756331759401,0.172105993656175,1.8172309116916,0.069181763652564,0.241523394646358
"Rep15",8.24882134895652,1.0396892749666,0.806949955707364,1.28841852907126,0.197600312167438,0.445295875867089
"Repin1",112.54999108135,-0.0922920531666992,0.193516069005398,-0.476921909591523,0.633417729801392,0.814041470187535
"Reps1",454.653625289716,-0.0239806313928919,0.100170015421966,-0.239399298201897,0.810795974141838,0.913589961582757
"Reps2",5.57867890002513,-1.06644448759892,1.05003269279352,-1.01562979411787,0.309805711390814,0.565392304857374
"Rer1",639.233307572626,0.00262955223052786,0.0853949703488712,0.0307928232750141,0.975434763904484,0.989940381183238
"Rere",983.107602086815,0.680225017930597,0.079413615814078,8.5655968558733,0.0000000000000000107517443819013,0.000000000000000974681467367293
"Resf1",553.749238299376,0.132977589046832,0.114788438441623,1.15845803682102,0.246677166823617,0.505089789646399
"Rest",628.312121339846,0.099185270905198,0.0954232939983356,1.03942409394218,0.298607543294908,0.556130773782556
"Ret",9.51279597593257,2.34687413144757,0.804621041104818,2.91674466805528,0.00353705190562913,0.0304784417215828
"Retreg1",577.918821914633,-0.189605852270907,0.0826857966109922,-2.29308853566395,0.0218429082792455,0.114370376119053
"Retreg2",773.060607414566,0.112381719608909,0.0829337144778886,1.35507881585204,0.175392447261978,0.416740885504192
"Retreg3",183.880900702656,-0.358188739852187,0.154162271081067,-2.32345266672825,0.0201548476221221,0.108326331211706
"Retsat",873.440675952317,0.351570783725762,0.0709796679057424,4.95311959183342,0.000000730330576905393,0.00002002224835637
"Rev1",236.012165334212,-0.152137840260083,0.147523075601783,-1.0312816462067,0.302408762667396,0.559418870533989
"Rev3l",450.699395993478,0.0612879496109103,0.10621894136099,0.576996426678933,0.563941869414636,0.766694815067009
"Rex1bd",259.290293081935,-0.0164639513590208,0.126145580839285,-0.130515482583545,0.896158605584204,0.954470581168076
"Rexo1",469.890179935552,-0.195245591337824,0.0913824442263616,-2.13657659291958,0.0326324451219447,0.148907496622017
"Rexo2",909.844210232336,-0.125733684449116,0.085816428107139,-1.46514702630296,0.142880808786375,0.371154587053138
"Rexo4",373.616706487965,0.0388967102048789,0.105707853080414,0.367964243633719,0.712899895982577,0.859595598915262
"Rexo5",54.43100095866,0.0846372519695845,0.329166876318358,0.257125665000772,0.797081765635875,0.905635556428185
"Rfc1",1297.84957336146,0.145682616530602,0.0623549346733761,2.33634462603012,0.0194732874443982,0.105829061084646
"Rfc2",567.114859253899,0.153657366079326,0.0855838419032882,1.79540159289603,0.072589738868046,0.248633569049796
"Rfc3",343.827691119712,0.104413038880161,0.123969571658609,0.842247315072577,0.399649534407328,0.649120206506313
"Rfc4",362.742400668727,0.166882064738754,0.103055703913789,1.61933845872674,0.105374460176583,0.312264741821604
"Rfc5",696.883711534523,0.0777183091783851,0.0806147138983021,0.964071016569371,0.335010322525588,0.588790276037605
"Rfesd",39.2652235810096,-0.0265168949405869,0.340078421675059,-0.0779728828720673,0.937849623636739,0.974554928080326
"Rffl",49.7920407588696,-0.0401998781931607,0.275200863623145,-0.146074680376765,0.883862434127755,0.948450235106472
"Rfk",480.957757014312,0.00743665797953442,0.0889423845864788,0.0836120822947326,0.933364860295208,0.972708106245726
"Rflnb",9.12489094572909,1.29168627065918,0.830946030186826,1.55447673342728,0.120070742288866,0.336231855600148
"Rfng",148.42619197898,-0.293457597521794,0.195535967600634,-1.50078576909777,0.133410980615618,0.357200998551546
"Rft1",145.21757306995,0.190744841414524,0.162520093161471,1.17366928423435,0.240527517863361,0.498353373138196
"Rftn1",362.579433616528,-0.339900806329441,0.116672735216098,-2.9132839450441,0.00357649231834167,0.0307221367939419
"Rftn2",19.2382409458249,0.485157992829899,0.470608088596523,1.03091724215104,0.30257963025428,0.559488416126965
"Rfwd3",1126.21799297745,-0.0421237875920827,0.0714308603214108,-0.589714129194891,0.555382321002325,0.761452793001575
"Rfx1",250.967513637532,-0.159488475772456,0.123179432316442,-1.29476547158245,0.195401146549335,0.442673442489893
"Rfx2",17.8907774763838,0.24192775545639,0.521065093621538,0.46429468874019,0.642436628744329,0.818655446379576
"Rfx3",6.86098257408341,2.66668435478997,1.00081038928328,2.66452505224259,0.00770971236039111,0.0553519897975704
"Rfx5",219.681892347818,0.0249931677163701,0.129292899516572,0.193306576075097,0.846718876498475,0.931301729566146
"Rfx7",958.389075732518,-0.0468838141529256,0.0752024346583011,-0.623434791253138,0.532998841149785,0.745905468164973
"Rfxank",34.2323045060364,0.331668181832764,0.347586211648366,0.954204081513724,0.33998034905244,0.593004608674864
"Rfxap",161.868455789402,-0.371062858367992,0.159861842932138,-2.32114713281211,0.0202789043285034,0.108716012455633
"Rgcc",10.9484046720132,1.39910652889963,0.705049342688593,1.98440937986604,0.0472102212172384,0.190268105545942
"Rgl1",715.559295091466,-0.97520904908136,0.0765217055402227,-12.7442147583701,0.000000000000000000000000000000000000335754384721115,0.0000000000000000000000000000000000736385181199632
"Rgl2",430.292594761342,0.0636838845756485,0.0968892544754656,0.657285319413564,0.510997474248392,0.732659600888828
"Rgl3",13.6459545756264,3.28529384595355,0.716314490749618,4.58638473516781,0.00000450987200558459,0.000104666872638325
"Rgma",6.48952865979444,3.2054072720764,1.1396140325974,2.8127130593247,0.00491254666909601,0.0390419693783562
"Rgmb",183.781793657493,-0.140262504427646,0.156792715565164,-0.894572837277968,0.371015477430262,0.623694951427457
"Rgp1",280.550222913391,-0.240597916976128,0.114192021042688,-2.10695909205588,0.0351211256829008,0.155867188980446
"Rgr",4.75108352323611,1.05730632215504,1.13211279271669,0.933923129353443,0.350343546947334,0.603951768685326
"Rgs1",109.41737019801,-0.116881898225615,0.192044232173492,-0.608619675284101,0.542776559950097,0.752746115471843
"Rgs10",286.80957008939,-0.113611909536106,0.12876502419356,-0.882319638020059,0.377603979622018,0.629864930679613
"Rgs11",26.4839425564772,-0.237063717427372,0.410443618285863,-0.57757925051295,0.5635482191024,0.766389507286172
"Rgs12",11.0659164958974,1.19432903002921,0.693845646604275,1.72131804223942,0.0851931272664546,0.27458074059475
"Rgs14",163.307685393918,-0.540719269177091,0.16279893079803,-3.32139324580646,0.000895692398406138,0.0102349791878375
"Rgs16",202.616521873291,1.13971826741322,0.15973541081851,7.13503825841195,0.000000000000967602427744331,0.0000000000579623692179181
"Rgs17",4.26399824335535,0.0915661654278688,1.42333994947622,0.0643319014979976,0.948705952334603,0.980327547415718
"Rgs18",8.0336558843042,-2.36400898196695,0.993033415039682,-2.38059358946394,0.0172847697398726,0.0977290224211173
"Rgs19",849.799780413058,-0.207200788415229,0.0703995077606605,-2.94321359631741,0.00324824220641061,0.0286443563701501
"Rgs2",382.760943170276,-0.1931504589285,0.102782652744045,-1.87921262753835,0.0602154661077018,0.221599433865366
"Rgs20",5.54480422706198,0.103495841902288,1.03275215939189,0.100213629147218,0.920174725990401,0.965551658779638
"Rgs22",7.27912612740779,0.729023613485283,1.05425697108297,0.691504664879194,0.489248450189084,0.716510546652791
"Rgs3",98.6744214588068,-0.00218775240138683,0.199178385651357,-0.0109838845928608,0.991236304283135,0.996275138070542
"Rgs6",6.1076698762094,1.04824148179461,1.08374248765907,0.967242212731606,0.33342296432502,0.587551533299518
"Rgs7bp",5.24415875617124,1.12883527950247,1.10954687297578,1.01738403937362,0.308970771708561,0.564398784751883
"Rgs8",25.8917328376312,0.643640139439532,0.40392405628983,1.5934682013039,0.111055196379811,0.321440732305804
"Rgs9",10.6061574066614,2.05706392659394,1.52028846446503,1.3530747451391,0.176031752851283,0.417672269284897
"Rgs9bp",9.47374458945476,0.589709341377929,0.688723525389647,0.856235223044398,0.39186768324841,0.641967768185569
"Rgsl1",4.30195358863077,3.57861698037182,1.56132500669646,2.29203847054474,0.0219034233595082,0.114510861531177
"Rhbdd1",265.101419644535,-0.220917453111062,0.124671901494074,-1.7719907249635,0.0763960968678425,0.25655928616566
"Rhbdd2",158.897995376158,0.0993509342989384,0.149860237101537,0.662957274194248,0.507357918436186,0.729749627130872
"Rhbdd3",88.5898487356274,0.51855603459857,0.218228327201046,2.37620863088431,0.0174915696931266,0.0984072671440359
"Rhbdf1",34.2911249498871,0.291454900631617,0.339508020344171,0.858462490329857,0.390637134184695,0.640617881098189
"Rhbdf2",483.308155081387,-0.140263391736325,0.0994926821321145,-1.40978601370975,0.158602877670971,0.394490932974184
"Rhbdl1",16.0050648507243,-0.319640702780773,0.522607005470355,-0.611627282900832,0.540784382907742,0.751250940360803
"Rhbdl3",6.3666252210322,0.85863847017636,0.9335594625537,0.919746951980544,0.357705010583153,0.611198151226833
"Rhd",36.8484166747103,0.898199967972088,0.336777668346976,2.66704135217983,0.00765222557854592,0.0551723029782966
