#OTU ID	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1	Taxonomy
OTU3290	0.0	0.0	0.0	0.0	29.0	8.0	2.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3291	6.0	23.0	31.0	13.0	62.0	39.0	19.0	15.0	10.0	6.0	6.0	18.0	14.0	7.0	13.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU3292	3.0	6.0	3.0	1.0	19.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3294	3.0	6.0	10.0	5.0	34.0	14.0	10.0	13.0	7.0	4.0	2.0	10.0	2.0	4.0	18.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU3295	6.0	0.0	3.0	0.0	39.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	15.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU3296	0.0	0.0	0.0	0.0	36.0	3.0	2.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	9.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU3297	0.0	0.0	0.0	0.0	27.0	0.0	1.0	0.0	0.0	0.0	58.0	37.0	12.0	0.0	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes
OTU3298	22.0	0.0	5.0	0.0	36.0	3.0	0.0	5.0	0.0	3.0	2.0	1.0	0.0	0.0	16.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV
OTU3299	9.0	1.0	154.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
OTU33	96.0	12.0	1.0	2.0	0.0	3.0	0.0	15.0	4.0	26.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum
