"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"262374_s_at" -1.63165762650008 6.01038982523649 -2.46415734475733 0.0285147771587931 0.999952991599668 -4.52295590730155
"254524_at" -1.62940867372704 7.70358141175392 -2.2762064326732 0.0404810775303972 0.999952991599668 -4.53280864426018
"258851_at" 1.62755719557878 7.26235987183163 1.68530534771393 0.115868836929831 0.999952991599668 -4.56390379879297
"265276_at" -1.62322870805252 8.68171015351105 -2.08122770438582 0.0578335622907412 0.999952991599668 -4.54313573251394
"252679_at" -1.62183374895756 9.17396084981404 -2.0665917044437 0.0593834369934357 0.999952991599668 -4.54391203993178
"253628_at" -1.61725736010071 9.85263264644696 -2.94040653891537 0.011525762192776 0.999952991599668 -4.49900175636065
"256319_at" -1.60490436133353 6.56957031298767 -1.83035427803794 0.0903091489603633 0.999952991599668 -4.5563815185364
"245329_at" -1.59937164916035 9.35562057262235 -1.74635206213973 0.104418671970407 0.999952991599668 -4.56075648251217
"251884_at" -1.595118236891 8.09569541873867 -2.10531215494987 0.0553647125800246 0.999952991599668 -4.54185814278801
"263584_at" -1.5936884245481 6.8770499462507 -1.57756823299584 0.138779674850168 0.999952991599668 -4.56937368128248
"245662_at" -1.58830930625403 8.5169542142797 -1.94596842592708 0.0736967391695532 0.999952991599668 -4.55029959279311
"256009_at" -1.58584414667149 6.74741325438284 -1.68283412137111 0.116354790671647 0.999952991599668 -4.56403054343046
"255543_at" -1.58445624766839 9.24461010484723 -1.48371615730329 0.161819958908867 0.999952991599668 -4.57402939556956
"256442_at" -1.57982114001343 9.21469634696241 -2.47650017930139 0.027860982848458 0.999952991599668 -4.52231470059432
"246777_at" -1.57521610228888 10.1721272762022 -1.93784977705532 0.0747655145772669 0.999952991599668 -4.55072835463201
"250781_at" -1.56633268592059 9.98188792733294 -1.90065736164281 0.0798447194745553 0.999952991599668 -4.55268974265418
"246289_at" -1.55900674799555 11.3314814144111 -2.2097924181891 0.0457510847146769 0.999952991599668 -4.53631971825547
"249896_at" -1.55684370508505 6.83992817056265 -1.54239305638046 0.147062802218887 0.999952991599668 -4.57113181887818
"247213_at" -1.55193800042584 8.70016168179346 -2.05116779209237 0.0610583636379152 0.999952991599668 -4.54472999840004
"260025_at" -1.54044085313456 9.19334682704432 -1.54686936065743 0.14598572923528 0.999952991599668 -4.57090892332682
"246584_at" -1.53960881467161 8.78000352384426 -1.76265379043765 0.101535931978373 0.999952991599668 -4.55991112559448
"253044_at" -1.53909400161884 7.75199439548167 -1.31831943667432 0.21024735788004 0.999952991599668 -4.58191627944187
"265668_at" -1.53820192905527 8.70637970662906 -2.19647555072987 0.04688284284143 0.999952991599668 -4.53702488555419
"250435_at" -1.52879020708504 7.97096040045298 -1.86844657674675 0.0844948099181022 0.999952991599668 -4.55438406885369
"254158_at" -1.5236078183259 9.10338086884631 -2.29529308492672 0.0390761758164609 0.999952991599668 -4.53180178904704
"256017_at" -1.52098576972532 11.1219167915967 -3.26279036169806 0.00620518921706352 0.999952991599668 -4.4839568118525
"257540_at" -1.51495776077057 9.14169169991504 -1.38683582279755 0.188909825459485 0.999952991599668 -4.57870414252826
"264746_at" -1.51424167004082 9.92050041307465 -1.76191840867776 0.1016644333267 0.999952991599668 -4.5599493012487
"265675_at" -1.51248720537937 10.0343653429282 -1.48669064016292 0.161042796982758 0.999952991599668 -4.57388363727909
"254839_at" -1.51241191291683 9.09711539756298 -1.40896741684281 0.182410770781419 0.999952991599668 -4.57764925025257
"261193_at" -1.51206108226985 10.8134331945807 -2.43939311458599 0.0298713058346649 0.999952991599668 -4.52424488745168
"262307_at" -1.51083770121472 6.88479239756605 -1.33070687853516 0.206250731615397 0.999952991599668 -4.58134180389361
"263948_at" -1.5105962002423 8.76776772438652 -1.6985671746789 0.113291333529116 0.999952991599668 -4.56322270402982
"260225_at" -1.50637726584568 9.0110810313351 -1.66775982586807 0.119358004116912 0.999952991599668 -4.56480247617097
"262319_s_at" 1.50583824104427 9.90148358138012 3.39067178354478 0.00485456417371588 0.999952991599668 -4.47829384508593
